Loja Concorrente;Rede;Bairro;Municipios;Estado;UF;Localizacao;Territorio
Cofel;S/Rede;Floresta;Porto Alegre;Rio Grande do Sul;RS;Floresta, Porto Alegre - RS, Brasil;5000 - Territorio Livre
Delaminas – Hipica;S/Rede;Sarandi;Porto Alegre;Rio Grande do Sul;RS;Sarandi, Porto Alegre - RS, Brasil;5000 - Territorio Livre
Multichapas;S/Rede;Sarandi;Porto Alegre;Rio Grande do Sul;RS;Sarandi, Porto Alegre - RS, Brasil;5000 - Territorio Livre
Madegreen;Rede Sim;Sarandi;Porto Alegre;Rio Grande do Sul;RS;Sarandi, Porto Alegre - RS, Brasil;5000 - Territorio Livre
Jr Silva  Esquadrias Jr Silva;S/Rede;Getulio Vargas;Rio Grande;Rio Grande do Sul;RS;Getulio Vargas, Rio Grande - RS, Brasil;5000 - Territorio Livre
Geracao;Rede Sim;Centro;Santa Cruz Do Sul;Rio Grande do Sul;RS;Centro, Santa Cruz Do Sul - RS, Brasil;5000 - Territorio Livre
Geracao;Rede Sim;Urlandia;Santa Maria;Rio Grande do Sul;RS;Urlandia, Santa Maria - RS, Brasil;5000 - Territorio Livre
Multifer;S/Rede;Scharlau 2;Sao Leopoldo;Rio Grande do Sul;RS;Scharlau 2, Sao Leopoldo - RS, Brasil;5000 - Territorio Livre
Ecoplac;S/Rede;Sapiranga 6;Sapiranga;Rio Grande do Sul;RS;Sapiranga 6, Sapiranga - RS, Brasil;5000 - Territorio Livre
Geracao Materiais  Filial;Rede Sim;Piratini;Sapucaia Do Sul;Rio Grande do Sul;RS;Piratini, Sapucaia Do Sul - RS, Brasil;5000 - Territorio Livre
Gama;Rede Pro;Centro;Vera Cruz;Rio Grande do Sul;RS;Centro, Vera Cruz - RS, Brasil;5000 - Territorio Livre
Rr Laminas;S/Rede;Guara;Xangri-La;Rio Grande do Sul;RS;Guara, Xangri-La - RS, Brasil;5000 - Territorio Livre
Madepar;Rede Sim;Vila Miguel Couto;Campo Grande;Mato Grosso do Sul;MS;Vila Miguel Couto, Campo Grande - MS, Brasil;1061 - Campo Grande I
Madewahl;Rede Pro;Mata Do Jacinto;Campo Grande;Mato Grosso do Sul;MS;Mata Do Jacinto, Campo Grande - MS, Brasil;1061 - Campo Grande I
Guia Do Marceneiro – Lj 08;Rede Sim;Monte Castelo;Campo Grande;Mato Grosso do Sul;MS;Monte Castelo, Campo Grande - MS, Brasil;1061 - Campo Grande I
Campo Grande;Gmad;Guanandi;Campo Grande;Mato Grosso do Sul;MS;Guanandi, Campo Grande - MS, Brasil;1063 - Campo Grande II
Madewahl– Matriz;Rede Pro;Guanandi;Campo Grande;Mato Grosso do Sul;MS;Guanandi, Campo Grande - MS, Brasil;1063 - Campo Grande II
Guia Do Marceneiro Lj 02;Rede Sim;Jardim Sao Pedro;Dourados;Mato Grosso do Sul;MS;Jardim Sao Pedro, Dourados - MS, Brasil;5000 - Territorio Livre
Madewahl;Rede Pro;Vila Sulmat;Dourados;Mato Grosso do Sul;MS;Vila Sulmat, Dourados - MS, Brasil;5000 - Territorio Livre
Falcao;S/Rede;Irman Ribeiro;Nova Andradina;Mato Grosso do Sul;MS;Irman Ribeiro, Nova Andradina - MS, Brasil;5000 - Territorio Livre
Mobiliarte;Rede Sim;Centro;Ponta Pora;Mato Grosso do Sul;MS;Centro, Ponta Pora - MS, Brasil;5000 - Territorio Livre
Madeiranit 3 Lagoas;Madeiranit;Jardim Alvorada;Tres Lagoas;Mato Grosso do Sul;MS;Jardim Alvorada, Tres Lagoas - MS, Brasil;5000 - Territorio Livre
Movelar Ferragens E Acessorios;Rede Sim;Colider;Colider;Mato Grosso;MT;Colider, Colider - MT, Brasil;2429 - Sinop
Marcenal - Cuiaba;Rede Sim;Jardim Paulista;Cuiaba;Mato Grosso;MT;Jardim Paulista, Cuiaba - MT, Brasil;2427 - Cuiaba
Monteiro Compensados E Mdf;Rede Pro;Jardim Petropolis;Cuiaba;Mato Grosso;MT;Jardim Petropolis, Cuiaba - MT, Brasil;2427 - Cuiaba
Casa Da Madeira;Gmad;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Guia Do Marceneiro – Lj 05;Rede Sim;Pascoal Ramos;Cuiaba;Mato Grosso;MT;Pascoal Ramos, Cuiaba - MT, Brasil;2427 - Cuiaba
Madeverde Madeiras;S/Rede;Bandeirantes;Lucas Do Rio Verde;Mato Grosso;MT;Bandeirantes, Lucas Do Rio Verde - MT, Brasil;2429 - Sinop
Madeverde Madeiras;Rede Sim;Bandeirantes;Lucas Do Rio Verde;Mato Grosso;MT;Bandeirantes, Lucas Do Rio Verde - MT, Brasil;2429 - Sinop
M Tres Mdf E Acessorios;Rede Sim;Bandeirantes;Lucas Do Rio Verde;Mato Grosso;MT;Bandeirantes, Lucas Do Rio Verde - MT, Brasil;2429 - Sinop
Marcenal - Rondonopolis;Rede Sim;Jardim Guanabara;Rondonopolis;Mato Grosso;MT;Jardim Guanabara, Rondonopolis - MT, Brasil;2426 - VPT Varzea Grande
Madecomp;Rede Sim;Centro - B;Rondonopolis;Mato Grosso;MT;Centro - B, Rondonopolis - MT, Brasil;2426 - VPT Varzea Grande
Madeiranit  Rondonopolis;Madeiranit;Vila Goulart 3 Parte;Rondonopolis;Mato Grosso;MT;Vila Goulart 3 Parte, Rondonopolis - MT, Brasil;2426 - VPT Varzea Grande
Casa Do Marceneiro;S/Rede;Jardim Botanico 1;Sinop;Mato Grosso;MT;Jardim Botanico 1, Sinop - MT, Brasil;2429 - Sinop
Madeiranit  Sinop;Madeiranit;Jardim Das Palmeiras 1;Sinop;Mato Grosso;MT;Jardim Das Palmeiras 1, Sinop - MT, Brasil;2429 - Sinop
Shopmar;S/Rede;Setor Comercial;Sinop;Mato Grosso;MT;Setor Comercial, Sinop - MT, Brasil;2429 - Sinop
Marcenal - Sorriso;Rede Sim;Jardim Tropical;Sorriso;Mato Grosso;MT;Jardim Tropical, Sorriso - MT, Brasil;2429 - Sinop
Casamar Matriz;Rede Pro;Setor 18;Tangara Da Serra;Mato Grosso;MT;Setor 18, Tangara Da Serra - MT, Brasil;2426 - VPT Varzea Grande
Madeiranit Tangara Da Serra;Madeiranit;Setor 28;Tangara Da Serra;Mato Grosso;MT;Setor 28, Tangara Da Serra - MT, Brasil;2426 - VPT Varzea Grande
Appex Distribuidora;S/Rede;Setor 27;Tangara Da Serra;Mato Grosso;MT;Setor 27, Tangara Da Serra - MT, Brasil;2426 - VPT Varzea Grande
Galileu Madeiras;S/Rede;Canelas;Varzea Grande;Mato Grosso;MT;Canelas, Varzea Grande - MT, Brasil;2425 - Varzea Grande
Monteiro;Rede Pro;Canelas;Varzea Grande;Mato Grosso;MT;Canelas, Varzea Grande - MT, Brasil;2425 - Varzea Grande
Monteiro Compensados E Mdf;Rede Pro;Centro Norte;Varzea Grande;Mato Grosso;MT;Centro Norte, Varzea Grande - MT, Brasil;2425 - Varzea Grande
Thamoio Ferramentas E Ferragens;S/Rede;Centro Sul;Varzea Grande;Mato Grosso;MT;Centro Sul, Varzea Grande - MT, Brasil;2425 - Varzea Grande
Thamoio Ferramentas E Ferragens;Rede Sim;Centro Sul;Varzea Grande;Mato Grosso;MT;Centro Sul, Varzea Grande - MT, Brasil;2425 - Varzea Grande
Madeiranit  Varzea Grande;Madeiranit;Ponte Nova;Varzea Grande;Mato Grosso;MT;Ponte Nova, Varzea Grande - MT, Brasil;2425 - Varzea Grande
Fermad Ferragens;S/Rede;Jardim Vitoria;Aguas Lindas De Goias;Goias;GO;Jardim Vitoria, Aguas Lindas De Goias - GO, Brasil;2050 - Brasilia
Madeireira Santa Terezinha;W Brasil;Jardim Vitoria;Aguas Lindas De Goias;Goias;GO;Jardim Vitoria, Aguas Lindas De Goias - GO, Brasil;2050 - Brasilia
Madecasa;Rede Pro;Chacaras Quedas Do Descoberto Etapa A 1;Aguas Lindas De Goias;Goias;GO;Chacaras Quedas Do Descoberto Etapa A 1, Aguas Lindas De Goias - GO, Brasil;2050 - Brasilia
Ms Madeiras;Rede Sim;Vila Santana;Anapolis;Goias;GO;Vila Santana, Anapolis - GO, Brasil;2075 - Goiania
Casa Da Madeira;Gmad;Vila Tocantins;Anapolis;Goias;GO;Vila Tocantins, Anapolis - GO, Brasil;2075 - Goiania
Lojao Do Marceneiro;Rede Sim;Bairro Cidade Jardim;Anapolis;Goias;GO;Bairro Cidade Jardim, Anapolis - GO, Brasil;2075 - Goiania
Compensados Anapolis;Rede Pro;Bairro Cidade Jardim;Anapolis;Goias;GO;Bairro Cidade Jardim, Anapolis - GO, Brasil;2075 - Goiania
Shopping Dos Marceneiros;Rede Sim;Bairro Cidade Jardim;Anapolis;Goias;GO;Bairro Cidade Jardim, Anapolis - GO, Brasil;2075 - Goiania
Madeireira Paragominas;S/Rede;Vila Santa Maria De Nazare;Anapolis;Goias;GO;Vila Santa Maria De Nazare, Anapolis - GO, Brasil;2075 - Goiania
Martins Ferragens;Rede Sim;Jardim Europa;Anapolis;Goias;GO;Jardim Europa, Anapolis - GO, Brasil;2075 - Goiania
Madeireira Flamboyant;Rede Sim;Parque Brasilia 2A Etapa;Anapolis;Goias;GO;Parque Brasilia 2A Etapa, Anapolis - GO, Brasil;2075 - Goiania
Park Shopping Da Construcao;Rede Sim;Parque Brasilia 2A Etapa;Anapolis;Goias;GO;Parque Brasilia 2A Etapa, Anapolis - GO, Brasil;2075 - Goiania
Madeireira Tobias Vila Rosa;Rede Pro;Setor Pedro Ludovico 1;Goiania;Goias;GO;Setor Pedro Ludovico 1, Goiania - GO, Brasil;2075 - Goiania
Tecnica Ferragens;S/Rede;Parque Rio Das Pedras;Aparecida De Goiania;Goias;GO;Parque Rio Das Pedras, Aparecida De Goiania - GO, Brasil;2075 - Goiania
Lojao Do Marceneiro;S/Rede;Parque Rio Das Pedras;Aparecida De Goiania;Goias;GO;Parque Rio Das Pedras, Aparecida De Goiania - GO, Brasil;2075 - Goiania
Lojao Do Marceneiro;S/Rede;Parque Rio Das Pedras;Aparecida De Goiania;Goias;GO;Parque Rio Das Pedras, Aparecida De Goiania - GO, Brasil;2075 - Goiania
Galpao Do Marceneiro;S/Rede;Vila Alzira;Aparecida De Goiania;Goias;GO;Vila Alzira, Aparecida De Goiania - GO, Brasil;2075 - Goiania
Madeiranit  Goiania;Madeiranit;Vila Sul;Aparecida De Goiania;Goias;GO;Vila Sul, Aparecida De Goiania - GO, Brasil;2075 - Goiania
Madeireira Santa Clara;Rede Sim;Caldas Novas;Caldas Novas;Goias;GO;Caldas Novas, Caldas Novas - GO, Brasil;2075 - Goiania
Madeiranit  Catalao;Madeiranit;Catalao;Catalao;Goias;GO;Catalao, Catalao - GO, Brasil;2075 - Goiania
Casa Do Marceneiro;Rede Sim;Parque Das Laranjeiras;Formosa;Goias;GO;Parque Das Laranjeiras, Formosa - GO, Brasil;2050 - Brasilia
Goianesia;Rede Sim;Bairro Carrilho;Goianesia;Goias;GO;Bairro Carrilho, Goianesia - GO, Brasil;2075 - Goiania
Casa Do Marceneiro;Gmad;Jardim America;Goiania;Goias;GO;Jardim America, Goiania - GO, Brasil;2075 - Goiania
Madeireira Tobias Goiania;Rede Pro;Setor Sudoeste;Goiania;Goias;GO;Setor Sudoeste, Goiania - GO, Brasil;2075 - Goiania
Madeireira Tobias Matriz;Rede Pro;Bairro Rodoviario;Goiania;Goias;GO;Bairro Rodoviario, Goiania - GO, Brasil;2075 - Goiania
Loja Das Ferragens;S/Rede;Setor Coimbra;Goiania;Goias;GO;Setor Coimbra, Goiania - GO, Brasil;2075 - Goiania
Madeiranit  Goiania;Madeiranit;Setor Coimbra;Goiania;Goias;GO;Setor Coimbra, Goiania - GO, Brasil;2075 - Goiania
Casa Do Marceneiro;Gmad;Setor Coimbra;Goiania;Goias;GO;Setor Coimbra, Goiania - GO, Brasil;2075 - Goiania
Tem Tudo Em Marcenaria;Rede Sim;Vila Sao Jose;Goiania;Goias;GO;Vila Sao Jose, Goiania - GO, Brasil;2075 - Goiania
Casa Da Madeira;Gmad;Bairro Anhanguera;Goiania;Goias;GO;Bairro Anhanguera, Goiania - GO, Brasil;2075 - Goiania
Mercado Do Marceneiro;S/Rede;Jardim Presidente;Goiania;Goias;GO;Jardim Presidente, Goiania - GO, Brasil;2075 - Goiania
Clube Do Marceneiro ;Rede Sim;Setor Maraba;Goiania;Goias;GO;Setor Maraba, Goiania - GO, Brasil;2075 - Goiania
Madeiranit Goiania;Madeiranit;Bairro Santa Genoveva;Goiania;Goias;GO;Bairro Santa Genoveva, Goiania - GO, Brasil;2075 - Goiania
Madeireira Do Zezinho;Rede Sim;Jardim Guanabara;Goiania;Goias;GO;Jardim Guanabara, Goiania - GO, Brasil;2075 - Goiania
N & D Chapas;S/Rede;Jardim Guanabara;Goiania;Goias;GO;Jardim Guanabara, Goiania - GO, Brasil;2075 - Goiania
Loja Do Marceneiro;Rede Sim;Centro 1;Inhumas;Goias;GO;Centro 1, Inhumas - GO, Brasil;2075 - Goiania
Shopping Do Marceneiro;Rede Sim;Setor Perne;Ipora;Goias;GO;Setor Perne, Ipora - GO, Brasil;2075 - Goiania
Loja Do Marceneiro;S/Rede;Setor Santa Maria Ii;Jatai;Goias;GO;Setor Santa Maria Ii, Jatai - GO, Brasil;2075 - Goiania
Madeireira Pau Brasil;Rede Sim;Parque Estrela Dalva Ii;Luziania;Goias;GO;Parque Estrela Dalva Ii, Luziania - GO, Brasil;2052 - Valparaiso de Goias
House Mdf - Luziania;Rede Sim;Jardim Do Inga;Luziania;Goias;GO;Jardim Do Inga, Luziania - GO, Brasil;2052 - Valparaiso de Goias
Portal Da Amazonia ;W Brasil;Setor Leste;Planaltina;Goias;GO;Setor Leste, Planaltina - GO, Brasil;2050 - Brasilia
Madefer;S/Rede;Jardim America;Rio Verde;Goias;GO;Jardim America, Rio Verde - GO, Brasil;2075 - Goiania
Madefer;S/Rede;Jardim Goias;Rio Verde;Goias;GO;Jardim Goias, Rio Verde - GO, Brasil;2075 - Goiania
Tele Tintas Madeireira – A Casa Do Marceneiro;Rede Sim;Setor Morada Do Sol;Rio Verde;Goias;GO;Setor Morada Do Sol, Rio Verde - GO, Brasil;2075 - Goiania
Madeireira Tobias  Rio Verde;Rede Pro;Parque Bandeirante;Rio Verde;Goias;GO;Parque Bandeirante, Rio Verde - GO, Brasil;2075 - Goiania
Hms Ferragens;Rede Sim;Senador Canedo;Senador Canedo;Goias;GO;Senador Canedo, Senador Canedo - GO, Brasil;2075 - Goiania
Casa Do Perfil Mdf E Acessorios;S/Rede;Clube Tropical/Valparaiso I;Valparaiso De Goias;Goias;GO;Clube Tropical/Valparaiso I, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Green House Ferragens;S/Rede;Jardim Oriente;Valparaiso De Goias;Goias;GO;Jardim Oriente, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Imperio Mdf E Materiais Para Marcenaria;S/Rede;Parque Esplanada Ii;Valparaiso De Goias;Goias;GO;Parque Esplanada Ii, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Casa Do Marceneiro;Rede Sim;Valparaiso Ii;Valparaiso De Goias;Goias;GO;Valparaiso Ii, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Terra Viva Madeiras;Rede Sim;Chacaras Anhanguera A B C D E;Valparaiso De Goias;Goias;GO;Chacaras Anhanguera A B C D E, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Madeireira Nova Esperanca ;W Brasil;Valparaiso Ii;Valparaiso De Goias;Goias;GO;Valparaiso Ii, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Souza Ferragens;S/Rede;Cidade Jardins;Valparaiso De Goias;Goias;GO;Cidade Jardins, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Madeireira Nova Esperanca;W Brasil;Chacaras Anhanguera A B C;Valparaiso De Goias;Goias;GO;Chacaras Anhanguera A B C, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
Rocha Mdf;S/Rede;Chacaras Anhanguera A B C D E;Valparaiso De Goias;Goias;GO;Chacaras Anhanguera A B C D E, Valparaiso De Goias - GO, Brasil;2052 - Valparaiso de Goias
House Mdf - Santa Maria;Rede Sim;Granja Do Torto;Brasilia;Distrito Federal;DF;Granja Do Torto, Brasilia - DF, Brasil;2050 - Brasilia
Casa Do Marceneiro;Rede Sim;Gama;Brasilia;Distrito Federal;DF;Gama, Brasilia - DF, Brasil;2050 - Brasilia
Madeiranit - Brasilia;Madeiranit;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Tozetti Madeiras - Taguatinga;Rede Pro;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Madeireira Prime;Rede Pro;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Casa Do Marceneiro;Rede Sim;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Casa Do Marceneiro;Rede Sim;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Terra Viva Madeiras;Rede Sim;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Tozzeti Madeiras – Gama;Rede Pro;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Atacadao Do Mdf;Rede Sim;Aguas Claras;Brasilia;Distrito Federal;DF;Aguas Claras, Brasilia - DF, Brasil;2050 - Brasilia
Rede Ferragens;S/Rede;Vicente Pires;Brasilia;Distrito Federal;DF;Vicente Pires, Brasilia - DF, Brasil;2050 - Brasilia
Jc Ferragens;Rede Sim;Vicente Pires;Brasilia;Distrito Federal;DF;Vicente Pires, Brasilia - DF, Brasil;2050 - Brasilia
Casa Das Fitas De Bordas;S/Rede;Taguatinga;Brasilia;Distrito Federal;DF;Taguatinga, Brasilia - DF, Brasil;2050 - Brasilia
Fermad Ferragens;S/Rede;Brazilandia;Brasilia;Distrito Federal;DF;Brazilandia, Brasilia - DF, Brasil;2050 - Brasilia
Tozzeti Madeiras – Sobradinho;Rede Pro;Sobradinho 2;Brasilia;Distrito Federal;DF;Sobradinho 2, Brasilia - DF, Brasil;2050 - Brasilia
